Round,Result,Running_Money,Debug
17589,Win,485,"Result: Win, Money: $485"
17590,Win,486,"Result: Win, Money: $486"
17591,Loss,485,"Result: Loss, Money: $485"
17592,Win,486,"Result: Win, Money: $486"
17593,Win,487,"Result: Win, Money: $487"
17594,Win,488,"Result: Win, Money: $488"
17595,Loss,487,"Result: Loss, Money: $487"
17596,Loss,486,"Result: Loss, Money: $486"
17597,Push,486,"Result: Push, Money: $486"
17598,Loss,484,"Result: Loss, Money: $484"
17599,Push,484,"Result: Push, Money: $484"
17600,Loss,483,"Result: Loss, Money: $483"
17601,Win,484,"Result: Win, Money: $484"
17602,Push,484,"Result: Push, Money: $484"
17603,Loss,483,"Result: Loss, Money: $483"
17604,Win,484,"Result: Win, Money: $484"
17605,Loss,483,"Result: Loss, Money: $483"
17606,Win,484,"Result: Win, Money: $484"
17607,Loss,483,"Result: Loss, Money: $483"
17608,Loss,482,"Result: Loss, Money: $482"
17609,Win,483,"Result: Win, Money: $483"
17610,Win,484,"Result: Win, Money: $484"
17611,Win,485,"Result: Win, Money: $485"
17612,Loss,484,"Result: Loss, Money: $484"
17613,Win,485,"Result: Win, Money: $485"
17614,Push,485,"Result: Push, Money: $485"
17615,Win,486,"Result: Win, Money: $486"
17616,Loss,485,"Result: Loss, Money: $485"
17617,Loss,484,"Result: Loss, Money: $484"
17618,Win,485,"Result: Win, Money: $485"
17619,Loss,484,"Result: Loss, Money: $484"
17620,Win,485,"Result: Win, Money: $485"
17621,Win,486,"Result: Win, Money: $486"
17622,Win,487,"Result: Win, Money: $487"
17623,Loss,486,"Result: Loss, Money: $486"
17624,Push,486,"Result: Push, Money: $486"
17625,Loss,485,"Result: Loss, Money: $485"
17626,Loss,483,"Result: Loss, Money: $483"
17627,Win,484,"Result: Win, Money: $484"
17628,Loss,483,"Result: Loss, Money: $483"
17629,Loss,482,"Result: Loss, Money: $482"
17630,Loss,480,"Result: Loss, Money: $480"
17631,Loss,479,"Result: Loss, Money: $479"
17632,Win,480,"Result: Win, Money: $480"
17633,Loss,478,"Result: Loss, Money: $478"
17634,Loss,477,"Result: Loss, Money: $477"
17635,Loss,476,"Result: Loss, Money: $476"
17636,Loss,475,"Result: Loss, Money: $475"
17637,Loss,474,"Result: Loss, Money: $474"
17638,Loss,473,"Result: Loss, Money: $473"
17639,Loss,472,"Result: Loss, Money: $472"
17640,Loss,471,"Result: Loss, Money: $471"
17641,Loss,470,"Result: Loss, Money: $470"
17642,Loss,469,"Result: Loss, Money: $469"
17643,Win,470,"Result: Win, Money: $470"
17644,Win,471,"Result: Win, Money: $471"
17645,Loss,470,"Result: Loss, Money: $470"
17646,Loss,469,"Result: Loss, Money: $469"
17647,Win,470,"Result: Win, Money: $470"
17648,Win,471,"Result: Win, Money: $471"
17649,Win,472,"Result: Win, Money: $472"
17650,Loss,471,"Result: Loss, Money: $471"
17651,Win,472,"Result: Win, Money: $472"
17652,Push,472,"Result: Push, Money: $472"
17653,Loss,471,"Result: Loss, Money: $471"
17654,Loss,470,"Result: Loss, Money: $470"
17655,Loss,469,"Result: Loss, Money: $469"
17656,Loss,468,"Result: Loss, Money: $468"
17657,Loss,467,"Result: Loss, Money: $467"
17658,Loss,466,"Result: Loss, Money: $466"
17659,Win,467,"Result: Win, Money: $467"
17660,Loss,466,"Result: Loss, Money: $466"
17661,Loss,465,"Result: Loss, Money: $465"
17662,Win,466,"Result: Win, Money: $466"
17663,Push,466,"Result: Push, Money: $466"
17664,Win,467,"Result: Win, Money: $467"
17665,Win,468,"Result: Win, Money: $468"
17666,Loss,467,"Result: Loss, Money: $467"
17667,Win,468,"Result: Win, Money: $468"
17668,Loss,467,"Result: Loss, Money: $467"
17669,Loss,466,"Result: Loss, Money: $466"
17670,Loss,465,"Result: Loss, Money: $465"
17671,Win,466,"Result: Win, Money: $466"
17672,Loss,465,"Result: Loss, Money: $465"
17673,Loss,463,"Result: Loss, Money: $463"
17674,Win,465,"Result: Win, Money: $465"
17675,Win,467,"Result: Win, Money: $467"
17676,Loss,466,"Result: Loss, Money: $466"
17677,Win,467,"Result: Win, Money: $467"
17678,Loss,465,"Result: Loss, Money: $465"
17679,Win,466,"Result: Win, Money: $466"
17680,Push,466,"Result: Push, Money: $466"
17681,Push,466,"Result: Push, Money: $466"
17682,Win,467,"Result: Win, Money: $467"
17683,Win,468,"Result: Win, Money: $468"
17684,Win,469,"Result: Win, Money: $469"
17685,Loss,468,"Result: Loss, Money: $468"
17686,Win,469,"Result: Win, Money: $469"
17687,Win,470,"Result: Win, Money: $470"
17688,Win,471,"Result: Win, Money: $471"
17689,Loss,470,"Result: Loss, Money: $470"
17690,Loss,469,"Result: Loss, Money: $469"
17691,Push,469,"Result: Push, Money: $469"
17692,Win,470,"Result: Win, Money: $470"
17693,Win,471,"Result: Win, Money: $471"
17694,Loss,470,"Result: Loss, Money: $470"
17695,Win,471,"Result: Win, Money: $471"
17696,Loss,470,"Result: Loss, Money: $470"
17697,Win,471,"Result: Win, Money: $471"
17698,Loss,470,"Result: Loss, Money: $470"
17699,Loss,469,"Result: Loss, Money: $469"
17700,Win,470,"Result: Win, Money: $470"
17701,Loss,469,"Result: Loss, Money: $469"
17702,Win,470,"Result: Win, Money: $470"
17703,Loss,469,"Result: Loss, Money: $469"
17704,Win,470,"Result: Win, Money: $470"
17705,Loss,469,"Result: Loss, Money: $469"
17706,Loss,468,"Result: Loss, Money: $468"
17707,Loss,467,"Result: Loss, Money: $467"
17708,Win,468,"Result: Win, Money: $468"
17709,Win,469,"Result: Win, Money: $469"
17710,Loss,468,"Result: Loss, Money: $468"
17711,Loss,467,"Result: Loss, Money: $467"
17712,Loss,466,"Result: Loss, Money: $466"
17713,Win,468,"Result: Win, Money: $468"
17714,Loss,467,"Result: Loss, Money: $467"
17715,Win,468,"Result: Win, Money: $468"
17716,Loss,467,"Result: Loss, Money: $467"
