Round,Result,Running_Money,Debug
1,Loss,999,"Result: Loss, Money: $999"
2,Win,1000,"Result: Win, Money: $1000"
3,Loss,999,"Result: Loss, Money: $999"
4,Loss,997,"Result: Loss, Money: $997"
5,Loss,996,"Result: Loss, Money: $996"
6,Loss,995,"Result: Loss, Money: $995"
7,Win,996,"Result: Win, Money: $996"
8,Loss,995,"Result: Loss, Money: $995"
9,Win,996,"Result: Win, Money: $996"
10,Loss,995,"Result: Loss, Money: $995"
11,Win,996,"Result: Win, Money: $996"
12,Win,997,"Result: Win, Money: $997"
13,Push,997,"Result: Push, Money: $997"
14,Win,998,"Result: Win, Money: $998"
15,Loss,997,"Result: Loss, Money: $997"
16,Win,998,"Result: Win, Money: $998"
17,Loss,997,"Result: Loss, Money: $997"
18,Loss,996,"Result: Loss, Money: $996"
19,Loss,994,"Result: Loss, Money: $994"
20,Win,995,"Result: Win, Money: $995"
21,Win,996,"Result: Win, Money: $996"
22,Win,997,"Result: Win, Money: $997"
23,Loss,996,"Result: Loss, Money: $996"
24,Win,997,"Result: Win, Money: $997"
25,Loss,996,"Result: Loss, Money: $996"
26,Win,997,"Result: Win, Money: $997"
27,Win,998,"Result: Win, Money: $998"
28,Win,999,"Result: Win, Money: $999"
29,Loss,998,"Result: Loss, Money: $998"
30,Win,999,"Result: Win, Money: $999"
31,Loss,998,"Result: Loss, Money: $998"
32,Loss,997,"Result: Loss, Money: $997"
33,Loss,996,"Result: Loss, Money: $996"
34,Win,997,"Result: Win, Money: $997"
35,Push,997,"Result: Push, Money: $997"
36,Push,997,"Result: Push, Money: $997"
37,Win,998,"Result: Win, Money: $998"
38,Loss,997,"Result: Loss, Money: $997"
39,Win,999,"Result: Win, Money: $999"
40,Win,1000,"Result: Win, Money: $1000"
41,Loss,999,"Result: Loss, Money: $999"
42,Loss,998,"Result: Loss, Money: $998"
43,Win,999,"Result: Win, Money: $999"
44,Loss,998,"Result: Loss, Money: $998"
45,Win,1000,"Result: Win, Money: $1000"
46,Loss,999,"Result: Loss, Money: $999"
47,Loss,998,"Result: Loss, Money: $998"
48,Loss,997,"Result: Loss, Money: $997"
49,Loss,996,"Result: Loss, Money: $996"
50,Push,996,"Result: Push, Money: $996"
51,Win,998,"Result: Win, Money: $998"
52,Loss,997,"Result: Loss, Money: $997"
53,Win,998,"Result: Win, Money: $998"
54,Loss,996,"Result: Loss, Money: $996"
55,Win,998,"Result: Win, Money: $998"
56,Loss,997,"Result: Loss, Money: $997"
57,Win,998,"Result: Win, Money: $998"
58,Loss,997,"Result: Loss, Money: $997"
59,Loss,996,"Result: Loss, Money: $996"
60,Push,996,"Result: Push, Money: $996"
61,Push,996,"Result: Push, Money: $996"
62,Loss,995,"Result: Loss, Money: $995"
63,Win,996,"Result: Win, Money: $996"
64,Loss,995,"Result: Loss, Money: $995"
65,Loss,994,"Result: Loss, Money: $994"
66,Push,994,"Result: Push, Money: $994"
67,Win,995,"Result: Win, Money: $995"
68,Push,995,"Result: Push, Money: $995"
69,Win,996,"Result: Win, Money: $996"
70,Win,997,"Result: Win, Money: $997"
71,Push,997,"Result: Push, Money: $997"
72,Loss,996,"Result: Loss, Money: $996"
73,Loss,995,"Result: Loss, Money: $995"
74,Win,996,"Result: Win, Money: $996"
75,Loss,994,"Result: Loss, Money: $994"
76,Loss,993,"Result: Loss, Money: $993"
77,Win,994,"Result: Win, Money: $994"
78,Loss,993,"Result: Loss, Money: $993"
79,Push,993,"Result: Push, Money: $993"
80,Loss,992,"Result: Loss, Money: $992"
81,Loss,991,"Result: Loss, Money: $991"
82,Push,991,"Result: Push, Money: $991"
83,Loss,990,"Result: Loss, Money: $990"
84,Loss,989,"Result: Loss, Money: $989"
85,Win,990,"Result: Win, Money: $990"
86,Loss,989,"Result: Loss, Money: $989"
87,Win,990,"Result: Win, Money: $990"
88,Win,991,"Result: Win, Money: $991"
89,Loss,990,"Result: Loss, Money: $990"
90,Loss,989,"Result: Loss, Money: $989"
91,Loss,988,"Result: Loss, Money: $988"
92,Loss,986,"Result: Loss, Money: $986"
93,Win,987,"Result: Win, Money: $987"
94,Win,988,"Result: Win, Money: $988"
95,Loss,987,"Result: Loss, Money: $987"
96,Push,987,"Result: Push, Money: $987"
97,Loss,986,"Result: Loss, Money: $986"
98,Win,988,"Result: Win, Money: $988"
99,Loss,987,"Result: Loss, Money: $987"
100,Loss,986,"Result: Loss, Money: $986"
101,Loss,985,"Result: Loss, Money: $985"
102,Win,986,"Result: Win, Money: $986"
103,Loss,985,"Result: Loss, Money: $985"
104,Win,986,"Result: Win, Money: $986"
105,Win,987,"Result: Win, Money: $987"
106,Win,988,"Result: Win, Money: $988"
107,Loss,987,"Result: Loss, Money: $987"
108,Win,988,"Result: Win, Money: $988"
109,Loss,987,"Result: Loss, Money: $987"
110,Win,988,"Result: Win, Money: $988"
111,Loss,986,"Result: Loss, Money: $986"
112,Push,986,"Result: Push, Money: $986"
113,Loss,985,"Result: Loss, Money: $985"
114,Win,986,"Result: Win, Money: $986"
115,Push,986,"Result: Push, Money: $986"
116,Win,987,"Result: Win, Money: $987"
117,Loss,986,"Result: Loss, Money: $986"
118,Loss,985,"Result: Loss, Money: $985"
119,Loss,984,"Result: Loss, Money: $984"
120,Win,985,"Result: Win, Money: $985"
121,Win,987,"Result: Win, Money: $987"
122,Loss,986,"Result: Loss, Money: $986"
123,Loss,985,"Result: Loss, Money: $985"
124,Loss,984,"Result: Loss, Money: $984"
125,Loss,983,"Result: Loss, Money: $983"
126,Push,983,"Result: Push, Money: $983"
127,Win,984,"Result: Win, Money: $984"
128,Loss,983,"Result: Loss, Money: $983"
129,Loss,982,"Result: Loss, Money: $982"
130,Win,983,"Result: Win, Money: $983"
131,Win,984,"Result: Win, Money: $984"
132,Loss,983,"Result: Loss, Money: $983"
133,Loss,981,"Result: Loss, Money: $981"
134,Loss,980,"Result: Loss, Money: $980"
135,Loss,979,"Result: Loss, Money: $979"
136,Win,980,"Result: Win, Money: $980"
137,Loss,979,"Result: Loss, Money: $979"
138,Win,980,"Result: Win, Money: $980"
139,Loss,979,"Result: Loss, Money: $979"
140,Loss,978,"Result: Loss, Money: $978"
141,Loss,977,"Result: Loss, Money: $977"
142,Loss,976,"Result: Loss, Money: $976"
143,Loss,975,"Result: Loss, Money: $975"
144,Win,976,"Result: Win, Money: $976"
145,Loss,975,"Result: Loss, Money: $975"
146,Loss,974,"Result: Loss, Money: $974"
147,Loss,973,"Result: Loss, Money: $973"
148,Win,974,"Result: Win, Money: $974"
149,Win,975,"Result: Win, Money: $975"
150,Win,976,"Result: Win, Money: $976"
151,Loss,975,"Result: Loss, Money: $975"
152,Win,976,"Result: Win, Money: $976"
153,Win,978,"Result: Win, Money: $978"
154,Loss,977,"Result: Loss, Money: $977"
155,Loss,976,"Result: Loss, Money: $976"
156,Loss,975,"Result: Loss, Money: $975"
157,Win,976,"Result: Win, Money: $976"
158,Loss,975,"Result: Loss, Money: $975"
159,Loss,974,"Result: Loss, Money: $974"
160,Loss,972,"Result: Loss, Money: $972"
161,Loss,971,"Result: Loss, Money: $971"
162,Win,972,"Result: Win, Money: $972"
163,Win,973,"Result: Win, Money: $973"
164,Loss,972,"Result: Loss, Money: $972"
165,Win,973,"Result: Win, Money: $973"
166,Win,974,"Result: Win, Money: $974"
167,Loss,972,"Result: Loss, Money: $972"
168,Win,973,"Result: Win, Money: $973"
169,Win,974,"Result: Win, Money: $974"
170,Loss,973,"Result: Loss, Money: $973"
171,Win,974,"Result: Win, Money: $974"
172,Win,975,"Result: Win, Money: $975"
173,Loss,974,"Result: Loss, Money: $974"
174,Loss,973,"Result: Loss, Money: $973"
175,Loss,971,"Result: Loss, Money: $971"
176,Win,973,"Result: Win, Money: $973"
177,Win,974,"Result: Win, Money: $974"
178,Win,975,"Result: Win, Money: $975"
179,Loss,973,"Result: Loss, Money: $973"
180,Win,974,"Result: Win, Money: $974"
181,Loss,973,"Result: Loss, Money: $973"
182,Loss,972,"Result: Loss, Money: $972"
183,Loss,971,"Result: Loss, Money: $971"
184,Win,973,"Result: Win, Money: $973"
185,Loss,972,"Result: Loss, Money: $972"
186,Loss,971,"Result: Loss, Money: $971"
187,Loss,970,"Result: Loss, Money: $970"
188,Loss,969,"Result: Loss, Money: $969"
189,Loss,968,"Result: Loss, Money: $968"
190,Loss,967,"Result: Loss, Money: $967"
191,Win,968,"Result: Win, Money: $968"
192,Win,969,"Result: Win, Money: $969"
193,Loss,968,"Result: Loss, Money: $968"
194,Win,969,"Result: Win, Money: $969"
195,Loss,968,"Result: Loss, Money: $968"
196,Push,968,"Result: Push, Money: $968"
197,Win,970,"Result: Win, Money: $970"
198,Loss,969,"Result: Loss, Money: $969"
199,Loss,968,"Result: Loss, Money: $968"
200,Win,969,"Result: Win, Money: $969"
201,Loss,968,"Result: Loss, Money: $968"
202,Loss,967,"Result: Loss, Money: $967"
203,Loss,966,"Result: Loss, Money: $966"
204,Win,967,"Result: Win, Money: $967"
205,Win,968,"Result: Win, Money: $968"
206,Push,968,"Result: Push, Money: $968"
207,Win,969,"Result: Win, Money: $969"
208,Loss,968,"Result: Loss, Money: $968"
209,Win,970,"Result: Win, Money: $970"
210,Loss,969,"Result: Loss, Money: $969"
211,Loss,968,"Result: Loss, Money: $968"
212,Win,969,"Result: Win, Money: $969"
213,Win,970,"Result: Win, Money: $970"
214,Win,971,"Result: Win, Money: $971"
215,Win,972,"Result: Win, Money: $972"
216,Win,973,"Result: Win, Money: $973"
217,Win,974,"Result: Win, Money: $974"
218,Push,974,"Result: Push, Money: $974"
219,Loss,973,"Result: Loss, Money: $973"
220,Loss,972,"Result: Loss, Money: $972"
221,Win,973,"Result: Win, Money: $973"
222,Win,974,"Result: Win, Money: $974"
223,Win,975,"Result: Win, Money: $975"
224,Push,975,"Result: Push, Money: $975"
225,Win,976,"Result: Win, Money: $976"
226,Loss,975,"Result: Loss, Money: $975"
227,Win,976,"Result: Win, Money: $976"
228,Loss,975,"Result: Loss, Money: $975"
229,Push,975,"Result: Push, Money: $975"
230,Push,975,"Result: Push, Money: $975"
231,Win,976,"Result: Win, Money: $976"
232,Loss,975,"Result: Loss, Money: $975"
233,Win,976,"Result: Win, Money: $976"
234,Win,978,"Result: Win, Money: $978"
235,Win,979,"Result: Win, Money: $979"
236,Loss,978,"Result: Loss, Money: $978"
237,Win,979,"Result: Win, Money: $979"
238,Win,980,"Result: Win, Money: $980"
239,Loss,979,"Result: Loss, Money: $979"
240,Push,979,"Result: Push, Money: $979"
241,Loss,978,"Result: Loss, Money: $978"
242,Win,979,"Result: Win, Money: $979"
243,Loss,978,"Result: Loss, Money: $978"
244,Loss,977,"Result: Loss, Money: $977"
245,Loss,975,"Result: Loss, Money: $975"
246,Loss,974,"Result: Loss, Money: $974"
247,Loss,973,"Result: Loss, Money: $973"
248,Loss,972,"Result: Loss, Money: $972"
249,Win,973,"Result: Win, Money: $973"
250,Loss,972,"Result: Loss, Money: $972"
251,Loss,971,"Result: Loss, Money: $971"
252,Loss,970,"Result: Loss, Money: $970"
253,Loss,969,"Result: Loss, Money: $969"
254,Loss,968,"Result: Loss, Money: $968"
255,Win,969,"Result: Win, Money: $969"
256,Loss,968,"Result: Loss, Money: $968"
257,Win,969,"Result: Win, Money: $969"
258,Win,970,"Result: Win, Money: $970"
259,Win,971,"Result: Win, Money: $971"
260,Win,972,"Result: Win, Money: $972"
261,Loss,971,"Result: Loss, Money: $971"
262,Loss,970,"Result: Loss, Money: $970"
263,Win,971,"Result: Win, Money: $971"
264,Loss,970,"Result: Loss, Money: $970"
265,Loss,969,"Result: Loss, Money: $969"
266,Win,971,"Result: Win, Money: $971"
267,Loss,970,"Result: Loss, Money: $970"
268,Push,970,"Result: Push, Money: $970"
269,Win,971,"Result: Win, Money: $971"
270,Loss,970,"Result: Loss, Money: $970"
271,Loss,969,"Result: Loss, Money: $969"
272,Win,970,"Result: Win, Money: $970"
273,Loss,969,"Result: Loss, Money: $969"
274,Loss,968,"Result: Loss, Money: $968"
275,Loss,967,"Result: Loss, Money: $967"
276,Win,968,"Result: Win, Money: $968"
277,Win,969,"Result: Win, Money: $969"
278,Win,970,"Result: Win, Money: $970"
279,Loss,969,"Result: Loss, Money: $969"
280,Loss,968,"Result: Loss, Money: $968"
281,Loss,967,"Result: Loss, Money: $967"
282,Win,968,"Result: Win, Money: $968"
283,Push,968,"Result: Push, Money: $968"
284,Loss,967,"Result: Loss, Money: $967"
285,Push,967,"Result: Push, Money: $967"
286,Win,968,"Result: Win, Money: $968"
287,Loss,967,"Result: Loss, Money: $967"
288,Win,968,"Result: Win, Money: $968"
289,Loss,967,"Result: Loss, Money: $967"
290,Loss,966,"Result: Loss, Money: $966"
291,Win,967,"Result: Win, Money: $967"
292,Loss,966,"Result: Loss, Money: $966"
293,Loss,965,"Result: Loss, Money: $965"
294,Win,966,"Result: Win, Money: $966"
295,Loss,965,"Result: Loss, Money: $965"
296,Loss,964,"Result: Loss, Money: $964"
297,Loss,963,"Result: Loss, Money: $963"
298,Push,963,"Result: Push, Money: $963"
299,Win,964,"Result: Win, Money: $964"
300,Win,965,"Result: Win, Money: $965"
301,Win,966,"Result: Win, Money: $966"
302,Win,967,"Result: Win, Money: $967"
303,Push,967,"Result: Push, Money: $967"
304,Win,968,"Result: Win, Money: $968"
305,Loss,967,"Result: Loss, Money: $967"
306,Win,969,"Result: Win, Money: $969"
307,Push,969,"Result: Push, Money: $969"
308,Win,970,"Result: Win, Money: $970"
309,Win,971,"Result: Win, Money: $971"
310,Loss,970,"Result: Loss, Money: $970"
311,Win,971,"Result: Win, Money: $971"
312,Win,972,"Result: Win, Money: $972"
313,Push,972,"Result: Push, Money: $972"
314,Win,973,"Result: Win, Money: $973"
315,Loss,972,"Result: Loss, Money: $972"
316,Loss,970,"Result: Loss, Money: $970"
317,Loss,969,"Result: Loss, Money: $969"
318,Loss,968,"Result: Loss, Money: $968"
319,Loss,967,"Result: Loss, Money: $967"
320,Win,968,"Result: Win, Money: $968"
321,Loss,967,"Result: Loss, Money: $967"
322,Loss,966,"Result: Loss, Money: $966"
323,Loss,965,"Result: Loss, Money: $965"
324,Loss,964,"Result: Loss, Money: $964"
325,Win,965,"Result: Win, Money: $965"
326,Loss,963,"Result: Loss, Money: $963"
327,Win,964,"Result: Win, Money: $964"
328,Win,965,"Result: Win, Money: $965"
329,Win,967,"Result: Win, Money: $967"
330,Win,968,"Result: Win, Money: $968"
331,Win,969,"Result: Win, Money: $969"
332,Win,970,"Result: Win, Money: $970"
333,Loss,969,"Result: Loss, Money: $969"
334,Loss,968,"Result: Loss, Money: $968"
335,Loss,966,"Result: Loss, Money: $966"
336,Win,967,"Result: Win, Money: $967"
337,Loss,966,"Result: Loss, Money: $966"
338,Push,966,"Result: Push, Money: $966"
339,Win,967,"Result: Win, Money: $967"
340,Win,968,"Result: Win, Money: $968"
341,Win,969,"Result: Win, Money: $969"
342,Win,970,"Result: Win, Money: $970"
343,Loss,969,"Result: Loss, Money: $969"
344,Win,971,"Result: Win, Money: $971"
345,Loss,970,"Result: Loss, Money: $970"
346,Push,970,"Result: Push, Money: $970"
347,Loss,969,"Result: Loss, Money: $969"
348,Loss,968,"Result: Loss, Money: $968"
349,Win,970,"Result: Win, Money: $970"
350,Loss,968,"Result: Loss, Money: $968"
351,Loss,967,"Result: Loss, Money: $967"
352,Win,968,"Result: Win, Money: $968"
353,Win,969,"Result: Win, Money: $969"
354,Loss,968,"Result: Loss, Money: $968"
355,Loss,967,"Result: Loss, Money: $967"
356,Loss,966,"Result: Loss, Money: $966"
357,Win,967,"Result: Win, Money: $967"
358,Loss,966,"Result: Loss, Money: $966"
359,Win,967,"Result: Win, Money: $967"
360,Win,968,"Result: Win, Money: $968"
361,Loss,967,"Result: Loss, Money: $967"
362,Win,968,"Result: Win, Money: $968"
363,Loss,967,"Result: Loss, Money: $967"
364,Win,968,"Result: Win, Money: $968"
365,Win,969,"Result: Win, Money: $969"
366,Loss,968,"Result: Loss, Money: $968"
367,Loss,967,"Result: Loss, Money: $967"
368,Loss,966,"Result: Loss, Money: $966"
369,Loss,965,"Result: Loss, Money: $965"
370,Loss,964,"Result: Loss, Money: $964"
371,Loss,963,"Result: Loss, Money: $963"
372,Loss,962,"Result: Loss, Money: $962"
373,Win,963,"Result: Win, Money: $963"
374,Win,965,"Result: Win, Money: $965"
375,Win,966,"Result: Win, Money: $966"
376,Push,966,"Result: Push, Money: $966"
377,Win,967,"Result: Win, Money: $967"
378,Loss,965,"Result: Loss, Money: $965"
379,Win,967,"Result: Win, Money: $967"
380,Loss,966,"Result: Loss, Money: $966"
381,Win,967,"Result: Win, Money: $967"
382,Win,968,"Result: Win, Money: $968"
383,Win,969,"Result: Win, Money: $969"
384,Loss,968,"Result: Loss, Money: $968"
385,Win,969,"Result: Win, Money: $969"
386,Push,969,"Result: Push, Money: $969"
387,Win,970,"Result: Win, Money: $970"
388,Push,970,"Result: Push, Money: $970"
389,Win,971,"Result: Win, Money: $971"
390,Loss,970,"Result: Loss, Money: $970"
391,Push,970,"Result: Push, Money: $970"
392,Win,971,"Result: Win, Money: $971"
393,Loss,969,"Result: Loss, Money: $969"
394,Win,970,"Result: Win, Money: $970"
395,Win,971,"Result: Win, Money: $971"
396,Win,972,"Result: Win, Money: $972"
397,Push,972,"Result: Push, Money: $972"
398,Loss,971,"Result: Loss, Money: $971"
399,Win,972,"Result: Win, Money: $972"
400,Win,973,"Result: Win, Money: $973"
401,Loss,972,"Result: Loss, Money: $972"
402,Loss,971,"Result: Loss, Money: $971"
403,Loss,970,"Result: Loss, Money: $970"
404,Loss,969,"Result: Loss, Money: $969"
405,Win,970,"Result: Win, Money: $970"
406,Win,971,"Result: Win, Money: $971"
407,Loss,970,"Result: Loss, Money: $970"
408,Win,971,"Result: Win, Money: $971"
409,Loss,970,"Result: Loss, Money: $970"
410,Win,971,"Result: Win, Money: $971"
411,Win,973,"Result: Win, Money: $973"
412,Loss,972,"Result: Loss, Money: $972"
413,Win,973,"Result: Win, Money: $973"
414,Push,973,"Result: Push, Money: $973"
415,Loss,972,"Result: Loss, Money: $972"
416,Loss,971,"Result: Loss, Money: $971"
417,Loss,970,"Result: Loss, Money: $970"
418,Win,971,"Result: Win, Money: $971"
419,Push,971,"Result: Push, Money: $971"
420,Loss,970,"Result: Loss, Money: $970"
421,Win,971,"Result: Win, Money: $971"
422,Push,971,"Result: Push, Money: $971"
423,Win,972,"Result: Win, Money: $972"
424,Loss,971,"Result: Loss, Money: $971"
425,Loss,970,"Result: Loss, Money: $970"
426,Push,970,"Result: Push, Money: $970"
427,Win,971,"Result: Win, Money: $971"
428,Push,971,"Result: Push, Money: $971"
429,Loss,970,"Result: Loss, Money: $970"
430,Loss,968,"Result: Loss, Money: $968"
431,Loss,967,"Result: Loss, Money: $967"
432,Win,968,"Result: Win, Money: $968"
433,Win,969,"Result: Win, Money: $969"
434,Loss,968,"Result: Loss, Money: $968"
435,Push,968,"Result: Push, Money: $968"
436,Loss,967,"Result: Loss, Money: $967"
437,Push,967,"Result: Push, Money: $967"
438,Loss,966,"Result: Loss, Money: $966"
439,Win,967,"Result: Win, Money: $967"
440,Win,969,"Result: Win, Money: $969"
441,Win,970,"Result: Win, Money: $970"
442,Win,971,"Result: Win, Money: $971"
443,Win,972,"Result: Win, Money: $972"
444,Win,973,"Result: Win, Money: $973"
445,Win,974,"Result: Win, Money: $974"
446,Win,975,"Result: Win, Money: $975"
447,Loss,974,"Result: Loss, Money: $974"
448,Loss,973,"Result: Loss, Money: $973"
449,Loss,972,"Result: Loss, Money: $972"
450,Push,972,"Result: Push, Money: $972"
451,Win,973,"Result: Win, Money: $973"
452,Loss,972,"Result: Loss, Money: $972"
453,Loss,971,"Result: Loss, Money: $971"
454,Win,972,"Result: Win, Money: $972"
455,Win,973,"Result: Win, Money: $973"
456,Loss,972,"Result: Loss, Money: $972"
457,Push,972,"Result: Push, Money: $972"
458,Loss,971,"Result: Loss, Money: $971"
459,Loss,970,"Result: Loss, Money: $970"
460,Loss,969,"Result: Loss, Money: $969"
461,Win,970,"Result: Win, Money: $970"
462,Loss,968,"Result: Loss, Money: $968"
463,Loss,967,"Result: Loss, Money: $967"
464,Win,968,"Result: Win, Money: $968"
465,Win,969,"Result: Win, Money: $969"
466,Loss,968,"Result: Loss, Money: $968"
467,Win,969,"Result: Win, Money: $969"
468,Loss,968,"Result: Loss, Money: $968"
469,Push,968,"Result: Push, Money: $968"
470,Push,968,"Result: Push, Money: $968"
471,Loss,966,"Result: Loss, Money: $966"
472,Loss,965,"Result: Loss, Money: $965"
473,Loss,964,"Result: Loss, Money: $964"
474,Push,964,"Result: Push, Money: $964"
475,Win,965,"Result: Win, Money: $965"
476,Push,965,"Result: Push, Money: $965"
477,Loss,964,"Result: Loss, Money: $964"
478,Win,965,"Result: Win, Money: $965"
479,Win,966,"Result: Win, Money: $966"
480,Loss,965,"Result: Loss, Money: $965"
481,Win,966,"Result: Win, Money: $966"
482,Win,968,"Result: Win, Money: $968"
483,Win,970,"Result: Win, Money: $970"
484,Push,970,"Result: Push, Money: $970"
485,Win,972,"Result: Win, Money: $972"
486,Loss,971,"Result: Loss, Money: $971"
487,Loss,970,"Result: Loss, Money: $970"
488,Win,971,"Result: Win, Money: $971"
489,Win,972,"Result: Win, Money: $972"
490,Loss,971,"Result: Loss, Money: $971"
491,Win,972,"Result: Win, Money: $972"
492,Win,973,"Result: Win, Money: $973"
493,Loss,972,"Result: Loss, Money: $972"
494,Loss,971,"Result: Loss, Money: $971"
495,Win,972,"Result: Win, Money: $972"
496,Win,973,"Result: Win, Money: $973"
497,Win,974,"Result: Win, Money: $974"
498,Win,975,"Result: Win, Money: $975"
499,Win,976,"Result: Win, Money: $976"
500,Win,978,"Result: Win, Money: $978"
501,Win,980,"Result: Win, Money: $980"
502,Loss,978,"Result: Loss, Money: $978"
503,Win,979,"Result: Win, Money: $979"
504,Loss,978,"Result: Loss, Money: $978"
505,Win,979,"Result: Win, Money: $979"
506,Loss,978,"Result: Loss, Money: $978"
507,Loss,977,"Result: Loss, Money: $977"
508,Loss,976,"Result: Loss, Money: $976"
509,Loss,975,"Result: Loss, Money: $975"
510,Push,975,"Result: Push, Money: $975"
511,Win,976,"Result: Win, Money: $976"
512,Win,977,"Result: Win, Money: $977"
513,Loss,976,"Result: Loss, Money: $976"
514,Loss,975,"Result: Loss, Money: $975"
515,Win,976,"Result: Win, Money: $976"
516,Loss,975,"Result: Loss, Money: $975"
517,Win,976,"Result: Win, Money: $976"
518,Win,977,"Result: Win, Money: $977"
519,Win,978,"Result: Win, Money: $978"
520,Win,979,"Result: Win, Money: $979"
521,Loss,978,"Result: Loss, Money: $978"
522,Win,979,"Result: Win, Money: $979"
523,Win,980,"Result: Win, Money: $980"
524,Loss,979,"Result: Loss, Money: $979"
525,Win,980,"Result: Win, Money: $980"
526,Loss,979,"Result: Loss, Money: $979"
527,Loss,978,"Result: Loss, Money: $978"
528,Win,979,"Result: Win, Money: $979"
529,Loss,978,"Result: Loss, Money: $978"
530,Loss,977,"Result: Loss, Money: $977"
531,Win,978,"Result: Win, Money: $978"
532,Push,978,"Result: Push, Money: $978"
533,Loss,977,"Result: Loss, Money: $977"
534,Loss,976,"Result: Loss, Money: $976"
535,Push,976,"Result: Push, Money: $976"
536,Win,977,"Result: Win, Money: $977"
537,Win,979,"Result: Win, Money: $979"
538,Loss,977,"Result: Loss, Money: $977"
539,Win,978,"Result: Win, Money: $978"
540,Win,979,"Result: Win, Money: $979"
541,Loss,977,"Result: Loss, Money: $977"
542,Loss,976,"Result: Loss, Money: $976"
543,Win,977,"Result: Win, Money: $977"
544,Win,978,"Result: Win, Money: $978"
545,Win,979,"Result: Win, Money: $979"
546,Win,980,"Result: Win, Money: $980"
547,Loss,979,"Result: Loss, Money: $979"
548,Push,979,"Result: Push, Money: $979"
549,Win,981,"Result: Win, Money: $981"
550,Win,982,"Result: Win, Money: $982"
551,Loss,981,"Result: Loss, Money: $981"
552,Loss,980,"Result: Loss, Money: $980"
553,Loss,979,"Result: Loss, Money: $979"
554,Win,981,"Result: Win, Money: $981"
555,Loss,980,"Result: Loss, Money: $980"
556,Loss,979,"Result: Loss, Money: $979"
557,Win,980,"Result: Win, Money: $980"
558,Win,981,"Result: Win, Money: $981"
559,Loss,980,"Result: Loss, Money: $980"
560,Loss,979,"Result: Loss, Money: $979"
561,Loss,978,"Result: Loss, Money: $978"
562,Win,979,"Result: Win, Money: $979"
563,Loss,978,"Result: Loss, Money: $978"
564,Loss,977,"Result: Loss, Money: $977"
565,Push,977,"Result: Push, Money: $977"
566,Loss,976,"Result: Loss, Money: $976"
567,Loss,975,"Result: Loss, Money: $975"
568,Loss,973,"Result: Loss, Money: $973"
569,Loss,972,"Result: Loss, Money: $972"
570,Loss,971,"Result: Loss, Money: $971"
571,Loss,970,"Result: Loss, Money: $970"
572,Loss,969,"Result: Loss, Money: $969"
573,Loss,968,"Result: Loss, Money: $968"
574,Win,969,"Result: Win, Money: $969"
575,Loss,968,"Result: Loss, Money: $968"
576,Loss,967,"Result: Loss, Money: $967"
577,Push,967,"Result: Push, Money: $967"
578,Loss,966,"Result: Loss, Money: $966"
579,Loss,965,"Result: Loss, Money: $965"
580,Loss,964,"Result: Loss, Money: $964"
581,Win,965,"Result: Win, Money: $965"
582,Loss,964,"Result: Loss, Money: $964"
583,Win,965,"Result: Win, Money: $965"
584,Loss,964,"Result: Loss, Money: $964"
585,Loss,963,"Result: Loss, Money: $963"
586,Win,964,"Result: Win, Money: $964"
587,Win,965,"Result: Win, Money: $965"
588,Loss,964,"Result: Loss, Money: $964"
589,Loss,963,"Result: Loss, Money: $963"
590,Loss,962,"Result: Loss, Money: $962"
591,Push,962,"Result: Push, Money: $962"
592,Push,962,"Result: Push, Money: $962"
593,Loss,961,"Result: Loss, Money: $961"
594,Win,962,"Result: Win, Money: $962"
595,Loss,961,"Result: Loss, Money: $961"
596,Loss,960,"Result: Loss, Money: $960"
597,Loss,959,"Result: Loss, Money: $959"
598,Win,960,"Result: Win, Money: $960"
599,Loss,959,"Result: Loss, Money: $959"
600,Push,959,"Result: Push, Money: $959"
601,Loss,958,"Result: Loss, Money: $958"
602,Loss,957,"Result: Loss, Money: $957"
603,Win,958,"Result: Win, Money: $958"
604,Loss,957,"Result: Loss, Money: $957"
605,Loss,956,"Result: Loss, Money: $956"
606,Loss,955,"Result: Loss, Money: $955"
607,Loss,954,"Result: Loss, Money: $954"
608,Loss,953,"Result: Loss, Money: $953"
609,Loss,952,"Result: Loss, Money: $952"
610,Loss,951,"Result: Loss, Money: $951"
611,Loss,950,"Result: Loss, Money: $950"
612,Win,951,"Result: Win, Money: $951"
613,Loss,949,"Result: Loss, Money: $949"
614,Win,950,"Result: Win, Money: $950"
615,Win,951,"Result: Win, Money: $951"
616,Win,952,"Result: Win, Money: $952"
617,Loss,950,"Result: Loss, Money: $950"
618,Loss,949,"Result: Loss, Money: $949"
619,Loss,948,"Result: Loss, Money: $948"
620,Loss,947,"Result: Loss, Money: $947"
621,Win,948,"Result: Win, Money: $948"
622,Win,949,"Result: Win, Money: $949"
623,Win,950,"Result: Win, Money: $950"
624,Loss,949,"Result: Loss, Money: $949"
625,Loss,948,"Result: Loss, Money: $948"
626,Win,949,"Result: Win, Money: $949"
627,Win,950,"Result: Win, Money: $950"
628,Loss,949,"Result: Loss, Money: $949"
629,Loss,948,"Result: Loss, Money: $948"
630,Push,948,"Result: Push, Money: $948"
631,Loss,946,"Result: Loss, Money: $946"
632,Loss,945,"Result: Loss, Money: $945"
633,Loss,944,"Result: Loss, Money: $944"
634,Win,945,"Result: Win, Money: $945"
635,Push,945,"Result: Push, Money: $945"
